Employee,Country,Entry,Exit
Emp1,FR,2025-09-21,2025-10-17
Emp1,FR,2025-09-05,2025-09-25
Emp1,FR,2025-08-07,2025-08-14
Emp1,FR,2025-06-16,2025-07-07
Emp1,FR,2025-10-03,2025-11-02
Emp1,FR,2025-09-27,2025-10-17
Emp1,FR,2025-03-27,2025-04-10
Emp1,FR,2025-06-06,2025-06-21
Emp1,FR,2025-01-27,2025-01-31
Emp1,FR,2025-07-02,2025-07-12
Emp1,FR,2025-07-13,2025-07-27
Emp1,FR,2025-03-27,2025-04-24
Emp1,FR,2025-07-24,2025-07-26
Emp1,FR,2025-10-03,2025-10-30
Emp1,FR,2025-01-24,2025-02-07
Emp1,FR,2025-05-10,2025-06-04
Emp1,FR,2025-06-13,2025-07-03
Emp1,FR,2025-07-20,2025-08-17
Emp1,FR,2025-10-13,2025-10-24
Emp1,FR,2025-01-29,2025-01-30
Emp2,FR,2025-03-10,2025-04-09
Emp2,FR,2025-10-05,2025-10-07
Emp2,FR,2025-07-24,2025-07-25
Emp2,FR,2025-02-17,2025-03-12
Emp2,FR,2025-08-13,2025-09-01
Emp2,FR,2025-01-13,2025-02-11
Emp2,FR,2025-01-23,2025-02-11
Emp2,FR,2025-03-28,2025-03-30
Emp2,FR,2025-01-23,2025-02-05
Emp2,FR,2025-02-19,2025-02-22
Emp2,FR,2025-05-06,2025-05-24
Emp2,FR,2025-03-20,2025-04-03
Emp2,FR,2025-01-12,2025-02-10
Emp2,FR,2025-10-16,2025-10-17
Emp2,FR,2025-02-02,2025-02-14
Emp2,FR,2025-03-22,2025-04-13
Emp2,FR,2025-06-27,2025-07-25
Emp2,FR,2025-05-26,2025-06-03
Emp2,FR,2025-07-03,2025-07-20
Emp2,FR,2025-03-28,2025-04-06
Emp3,FR,2025-06-15,2025-07-10
Emp3,FR,2025-07-26,2025-08-19
Emp3,FR,2025-02-09,2025-03-05
Emp3,FR,2025-03-15,2025-03-26
Emp3,FR,2025-01-10,2025-01-21
Emp3,FR,2025-10-06,2025-11-04
Emp3,FR,2025-06-01,2025-06-18
Emp3,FR,2025-07-20,2025-08-02
Emp3,FR,2025-10-11,2025-11-09
Emp3,FR,2025-01-23,2025-02-22
Emp3,FR,2025-09-16,2025-09-25
Emp3,FR,2025-01-23,2025-02-01
Emp3,FR,2025-04-13,2025-04-25
Emp3,FR,2025-09-10,2025-09-13
Emp3,FR,2025-06-25,2025-07-09
Emp3,FR,2025-10-25,2025-10-30
Emp3,FR,2025-10-12,2025-10-28
Emp3,FR,2025-08-17,2025-09-07
Emp3,FR,2025-03-15,2025-03-30
Emp3,FR,2025-10-22,2025-11-15
Emp4,FR,2025-10-04,2025-10-10
Emp4,FR,2025-05-09,2025-05-15
Emp4,FR,2025-06-24,2025-07-22
Emp4,FR,2025-05-13,2025-05-15
Emp4,FR,2025-04-16,2025-04-19
Emp4,FR,2025-02-11,2025-02-26
Emp4,FR,2025-09-23,2025-09-26
Emp4,FR,2025-08-07,2025-08-16
Emp4,FR,2025-02-09,2025-03-03
Emp4,FR,2025-08-26,2025-08-27
Emp4,FR,2025-07-05,2025-07-07
Emp4,FR,2025-06-03,2025-07-01
Emp4,FR,2025-01-26,2025-02-05
Emp4,FR,2025-02-19,2025-03-16
Emp4,FR,2025-05-14,2025-05-29
Emp4,FR,2025-01-18,2025-01-19
Emp4,FR,2025-01-01,2025-01-17
Emp4,FR,2025-04-27,2025-05-09
Emp4,FR,2025-01-30,2025-02-22
Emp4,FR,2025-07-06,2025-07-17
Emp5,FR,2025-10-17,2025-11-03
Emp5,FR,2025-07-13,2025-07-25
Emp5,FR,2025-03-29,2025-04-20
Emp5,FR,2025-09-22,2025-10-16
Emp5,FR,2025-02-13,2025-02-26
Emp5,FR,2025-10-12,2025-10-30
Emp5,FR,2025-04-29,2025-05-29
Emp5,FR,2025-09-28,2025-10-12
Emp5,FR,2025-10-06,2025-10-30
Emp5,FR,2025-02-08,2025-02-16
Emp5,FR,2025-05-26,2025-06-24
Emp5,FR,2025-06-07,2025-06-29
Emp5,FR,2025-06-02,2025-06-28
Emp5,FR,2025-03-30,2025-04-05
Emp5,FR,2025-05-19,2025-06-07
Emp5,FR,2025-09-13,2025-10-01
Emp5,FR,2025-10-27,2025-11-15
Emp5,FR,2025-09-08,2025-09-25
Emp5,FR,2025-03-21,2025-03-25
Emp5,FR,2025-03-18,2025-03-26
